OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
118,2400,11001002400,3618,3524,793,2293,15,60,1,362,54,31,18,4,685,560,2240,5,60,1,8,39,26,16,3,2951,696,1864,11,54,1,247,46,30,12,4,494,517,1827,5,54,1,5,33,24,11,3,1384,1275,109,137.4659672,0.21479058,3265.934715,556305.0356,80149660,36059,106668159,38006,91479505,35654,103751959,37713.5,112743138,42453,129540107,44564.5
119,2501,11001002501,2554,2439,613,1432,11,25,4,354,50,26,19,32,589,463,1398,7,25,1,14,44,24,16,2,2092,514,1220,11,22,3,240,35,22,10,25,430,395,1191,7,22,1,8,30,20,9,2,1042,1004,38,134.2792123,0.20981127,3106.147797,543408.6957,63870734,31549,74481381,31627.5,69649528,29087.5,75809953,31390,79878737,34334,87120014,35144
120,2502,11001002502,5973,5514,1493,2496,39,91,5,1390,116,47,60,175,2532,837,2363,13,90,5,28,72,28,47,2,4826,1281,2079,28,83,4,1003,83,43,41,131,1876,778,1985,7,82,4,19,51,26,33,2,2415,2151,264,149.3620054,0.23337814,3238.906671,604446.5946,116055853,26090,156512610,32326,135667766,28524,149546964,30983,153589572,34494,184029268,37513
121,2600,11001002600,2166,2074,916,1026,6,67,0,59,66,23,23,2,149,842,1017,6,67,0,12,57,16,22,2,1816,782,867,6,55,0,45,45,20,12,2,117,723,858,6,55,0,9,40,16,11,2,1001,947,54,547.6484326,0.85570068,9204.269399,2216254.59,134692240,78044,120160981,74993.5,137593664,78133,150712513,79794,164390717,82203,170973446,81819
122,2701,11001002701,5233,4989,2828,1281,29,276,2,573,124,56,88,12,1269,2267,1236,16,267,2,18,86,33,73,7,4623,2548,1169,24,250,2,444,99,53,60,11,1004,2092,1128,15,243,2,17,70,30,51,7,2845,2655,190,111.2639069,0.17384986,3377.590811,450269.0588,137493357,35394.5,184313228,42690,169063427,39237,178818098.7,41223.5,175143270.6,43441,226192119.8,47231
123,7601,11001007601,4355,4285,140,4109,7,21,0,8,64,31,12,2,61,124,4075,6,21,0,4,59,28,11,2,3411,132,3200,7,18,0,6,42,26,8,2,48,118,3175,6,18,0,2,39,24,7,2,2196,1855,341,312.1095815,0.48767122,4733.026791,1263062.672,65787519,28653,72209610,29757,67410946,28397,72573691,29717,76798005,30483.5,82541867,30846
124,7603,11001007603,4044,3961,244,3645,26,19,1,26,76,39,4,3,89,224,3613,23,19,0,1,72,38,4,2,3331,221,2990,19,15,1,20,59,27,4,3,72,205,2964,17,15,0,1,55,26,4,2,2328,2121,207,303.081921,0.4735655,4994.723368,1226529.026,95985961,42744,96251269,41564,96420454,41551,100710493,41409,100775617,41528.5,106625544,42402
125,7604,11001007604,3644,3594,148,3411,10,10,1,14,45,22,9,0,59,127,3387,9,10,1,4,43,21,8,0,2982,134,2779,9,10,1,10,36,18,7,0,45,115,2763,9,10,1,3,34,17,6,0,1931,1750,181,338.1567386,0.52836991,5427.176057,1368471.778,77030053,35693.5,80847329,36500.5,77577041,34254.5,82552503,36143,87515989,36633,94079938,38093.5
126,7605,11001007605,3447,3380,47,3292,16,11,0,14,62,29,11,2,43,37,3278,15,11,0,5,57,29,11,2,2763,43,2635,13,10,0,12,45,26,7,2,30,37,2623,13,10,0,4,45,26,7,2,1804,1581,223,112.1236986,0.17519328,3672.99917,453748.5125,53319053,31064,56942326,29971,55599933,30825.5,56534733,30292,59581383,31643,61946654,31588.5
127,7703,11001007703,5187,5105,53,4924,10,5,1,112,72,47,7,2,186,29,4886,9,5,1,5,63,39,5,2,3665,44,3476,8,3,1,82,42,32,5,2,140,24,3446,8,3,1,4,37,24,3,2,2338,2103,235,249.8804855,0.39043826,4509.848281,1011230.454,62080786,26835,66007045,24882,65408275,25046.5,65645025,25153,71794022,26023.5,76945859,26266
128,7707,11001007707,3867,3828,42,3740,12,1,0,33,37,19,2,1,64,42,3712,11,1,0,4,32,18,2,1,2841,38,2742,10,1,0,22,26,16,1,0,39,38,2728,9,1,0,3,22,15,1,0,1721,1555,166,208.256449,0.3254007,4424.682144,842783.953,58126835.3,31164,61842067,28427.5,57877113,29008,62097139,28629,64147480,30013,66746843,29422.5
129,7708,11001007708,2486,2438,11,2416,2,1,2,6,44,24,7,3,35,9,2395,2,1,2,1,41,23,6,2,1837,9,1782,2,1,2,4,34,18,6,3,24,9,1767,2,1,2,0,32,17,5,2,1262,1084,178,211.6010709,0.33062668,4293.393914,856319.1578,30562571,26240,34921404,25245,31748410,25109.5,33241592,24441,33292010,25265,34745840,25783
130,7709,11001007709,2007,1972,38,1896,8,3,0,27,32,19,6,0,47,29,1884,7,3,0,8,29,16,6,0,1599,34,1513,7,3,0,19,21,14,2,0,30,28,1505,6,3,0,7,20,12,2,0,1144,979,165,228.4714258,0.35698661,4638.997012,924591.0624,28571370,29896,30343665,30352,28310642,27863.5,31742090,28828,33881022,28981,34779735,28775
131,7803,11001007803,3293,3244,36,3126,15,8,0,59,40,20,10,5,103,22,3102,15,8,0,6,35,19,6,4,2543,32,2404,12,7,0,45,35,18,6,5,75,22,2387,12,7,0,6,32,17,4,4,1652,1438,214,247.7583517,0.38712243,4553.269283,1002642.483,47573443.6,29997,52825855,27686,48905994,27744.5,49369713,27604,57963981,28576,61989776,29393.5
132,7804,11001007804,3446,3366,24,3289,4,4,0,45,72,44,19,5,69,18,3277,4,4,0,5,63,42,19,5,2432,19,2323,4,4,0,28,47,27,12,5,42,16,2315,4,4,0,4,42,25,12,5,1378,1212,166,209.5098253,0.3273591,4574.80291,847856.1872,37285095,27108,42241373,24947,36383082,24256.5,40137177,24418,43080974,25264,45942286,25868
133,7806,11001007806,2347,2319,35,2247,13,3,1,20,27,21,0,7,75,22,2208,12,3,0,0,27,20,0,7,1797,30,1723,10,3,1,12,17,14,0,1,51,22,1695,9,3,0,0,17,13,0,1,1102,964,138,170.2268109,0.26597939,4130.207134,688883.4671,32232385,29933,35524039,27394,32201366,28847,35415431,29425.5,37422570,30052,42317490,30296.5
134,2702,11001002702,5226,5006,3439,699,48,205,1,614,65,38,58,14,1303,2924,652,15,202,0,24,43,21,52,11,4578,3057,635,37,185,1,494,46,32,44,12,1076,2620,591,11,183,0,15,32,18,39,9,2565,2311,254,124.9245239,0.19519457,3697.627805,505551.615,198770793,43840.5,223639542,48746.5,216772349,45791,238216199,47500,232110688,47399,270883128,50917
135,2801,11001002801,3773,3602,1241,1359,23,155,1,823,69,40,41,5,1382,817,1321,11,151,0,12,44,24,31,5,3145,1128,1088,16,129,1,641,53,30,38,4,1090,792,1058,6,125,0,10,32,18,28,4,1820,1646,174,42.47578244,0.06636841,1725.322841,171893.394,65733402,23606,94212705,28873,83898374,26426,90893505,28629,80041474,28917,97260309,33796
136,9603,11001009603,3373,3305,25,3236,10,7,1,26,53,35,17,4,62,17,3220,9,7,1,3,47,32,13,2,2646,22,2545,6,5,1,17,38,24,15,4,39,17,2536,5,5,1,2,34,22,11,2,1750,1588,162,157.9618479,0.24681539,3866.067516,639248.9224,50548063,29854,54782066,29205,51432289,28037.5,52174930,28187,55087454.94,27981,58282104,29140
137,9604,11001009604,1962,1925,31,1865,4,1,0,24,27,13,5,8,55,22,1859,1,1,0,0,21,12,4,3,1592,28,1514,2,1,0,16,22,13,4,8,39,21,1509,1,1,0,0,18,12,3,3,998,927,71,135.5452565,0.21178946,3139.245874,548532.1949,39320298,34892,42571608,36056.5,37671884,33177,38840511,34782.5,41657348,35693,42752988,35403
138,9700,11001009700,3177,3141,20,3098,6,4,5,8,34,17,3,3,32,13,3086,6,3,5,0,32,16,3,3,2256,16,2196,5,4,1,5,27,15,1,2,22,13,2187,5,3,1,0,25,14,1,2,1307,1179,128,101.3149124,0.15830455,3393.279077,410006.9065,37230924,28163.5,41269716,27242,39880533,28285,40335605,26811,41436665.8,27024,42553067,28849
139,9801,11001009801,1575,1554,16,1526,3,5,0,4,21,7,1,0,26,11,1512,3,5,0,2,16,7,1,0,1100,15,1058,3,5,0,4,15,6,1,0,14,10,1053,3,5,0,2,13,6,1,0,766,677,89,110.8391105,0.17318611,3275.822031,448549.9687,16467492,24531.5,19048407,25883.5,19081986,27074.5,18248824,25989,17778638.57,23323.5,19288881,24214
140,9802,11001009802,1693,1678,11,1665,1,0,0,1,12,3,1,2,27,10,1643,1,0,0,1,11,3,1,2,1136,10,1111,1,0,0,1,10,3,1,2,13,9,1103,1,0,0,1,9,3,1,2,848,677,171,49.60026818,0.07750042,2124.243896,200725.165,15926462,24440,18186608,23629,15540000,24559,16598367,23436,15661896,21843.5,17489336,21172
141,7807,11001007807,2139,2108,18,2053,2,5,0,30,30,9,8,0,49,9,2043,2,5,0,4,26,9,7,0,1593,13,1537,1,5,0,18,18,8,2,0,29,9,1531,1,5,0,1,16,8,2,0,906,810,96,129.4221394,0.20222209,3369.640893,523752.8192,26964218,27911.5,29022672,25588,27172275,26950.5,29864189,26722,31685807,25848,32933216,27008
142,7808,11001007808,3646,3592,34,3489,10,9,0,50,53,38,4,0,77,29,3470,8,9,0,12,40,33,3,0,2544,28,2431,9,5,0,33,37,26,2,0,51,24,2417,7,5,0,11,28,23,2,0,1598,1352,246,234.8368053,0.36693251,4159.121607,950350.8393,44146628.79,27911,47655483,24266,44039061,26488,45848749,25835,51644760,26059.5,55871889,27844.5
143,8701,11001008701,2407,2360,384,1888,4,38,3,43,34,15,16,0,114,356,1856,3,38,2,3,28,10,16,0,1978,357,1513,4,29,3,39,25,12,10,0,96,332,1491,3,29,2,2,19,7,10,0,972,873,99,95.00421447,0.14844409,2699.849929,384468.4178,48565203,34711,70853972,37790,57403391,35334,65364292,38164,74587120,41781,86810333,44960
144,8702,11001008702,1599,1557,221,1280,6,16,1,33,39,13,6,2,103,182,1265,6,13,1,1,27,9,6,2,1325,195,1055,6,16,1,20,30,11,5,0,72,167,1044,6,13,1,0,21,8,5,0,902,713,189,117.2238161,0.18316221,3710.812891,474387.9558,28412101,32251,59322798,41675,30878869,32047,43104817,38477.5,74934828,47601,159109427,53754
145,8802,11001008802,4119,4030,308,3607,29,35,4,47,68,36,15,6,172,268,3555,16,35,4,1,61,24,12,6,3301,274,2873,22,32,1,37,45,27,10,6,129,240,2840,10,32,1,1,41,18,8,6,1999,1746,253,116.5697592,0.18214025,2848.579921,471741.0813,62141902.81,28875.5,80440359,31959.5,68412661,29125,73584575,29903,86766327.42,35199,99751561,38882.5
146,8803,11001008803,2037,1958,694,1143,9,54,5,53,43,21,29,6,167,621,1117,8,52,5,3,33,16,27,5,1709,673,860,9,49,5,45,32,22,28,6,146,603,842,8,47,5,3,24,16,27,5,612,442,170,284.5769847,0.44465154,5287.299629,1151642.205,9823344,16056,14330450,16546,11668374,16917,12715225,16095,18786961,21519,22956326,24186
147,9803,11001009803,2758,2719,23,2684,5,3,0,4,35,16,10,4,30,20,2667,5,3,0,0,29,14,10,4,2000,22,1943,5,2,0,4,22,11,5,2,21,19,1931,5,2,0,0,20,10,5,2,1416,1201,215,131.2132499,0.2050207,3195.473389,531001.1863,30971202,26640,33847590,23984,33180603,25128.5,33226454,25227,35039724,25379,37398304,26262.5
148,9804,11001009804,2473,2435,42,2369,5,4,0,15,32,13,4,2,56,14,2361,5,4,0,3,30,12,1,1,1778,28,1706,4,4,0,13,19,7,2,1,39,11,1700,4,4,0,2,18,7,0,1,1071,955,116,128.0743509,0.20011617,3761.594319,518298.5125,32581400,27829,34316210,27427.5,33095951,27152.5,34012746,27000,37891027,28276.5,40708270,29122
149,9807,11001009807,3072,3022,56,2937,4,13,0,12,48,24,3,0,58,38,2912,3,13,0,1,46,24,3,0,2396,46,2304,4,12,0,11,18,12,1,0,42,36,2283,3,12,0,1,18,12,1,0,1551,1350,201,256.6267697,0.40097933,5057.760632,1038531.697,49300774.86,31540.43,50089141,29196,50160528,29574.5,51025204,29638,52225202,28837,55085531,30509
150,9810,11001009810,2507,2483,15,2456,3,1,0,8,23,12,8,0,22,15,2439,3,1,0,6,21,12,6,0,1734,13,1692,3,1,0,6,18,11,8,0,17,13,1680,3,1,0,4,16,11,6,0,1171,1103,68,101.9167672,0.15924495,2811.707456,412442.5261,20731641,22114,23630871,20845,22087145,21242,22667655,21012.5,23590181.04,22107,25212674,21337
151,10500,11001010500,3410,3296,1101,1888,15,231,2,59,63,33,43,10,212,1000,1858,13,228,2,10,49,26,35,4,2946,1074,1501,14,211,2,50,47,28,38,10,190,977,1477,13,208,2,10,35,20,30,4,2347,2000,347,185.9731461,0.29058304,3700.255222,752606.625,84029289,45706.5,112250955,52096,98303018,48448,105746983,51276.5,106072495,52567,124766159,56785
152,10600,11001010600,3933,3814,1624,1992,15,126,0,57,70,44,38,3,177,1548,1969,3,123,0,10,63,39,35,2,3397,1503,1622,14,117,0,47,52,37,33,2,141,1442,1603,3,115,0,10,48,33,30,2,1927,1670,257,305.5641749,0.47744403,5269.162516,1236574.351,121226133,46770,256230114,55071.5,161447062,51645,209503581,53822,231914897.6,55353,313701867,58798.5
153,10700,11001010700,1838,1775,1442,89,6,209,0,29,12,7,40,7,137,1344,85,5,207,0,4,10,6,38,7,1821,1433,86,6,207,0,28,10,8,40,7,134,1336,83,5,205,0,4,8,6,39,7,1413,1244,169,220.2939869,0.34420936,3825.465074,891498.1408,76742725,55538.5,121704083,63057,65155219,58724,148356514,60245,131895201,71866,156457298,72231
154,10800,11001010800,6408,6194,5146,279,2,708,3,56,133,32,150,27,268,4946,277,2,706,2,6,129,29,149,27,6381,5132,270,2,706,3,56,131,32,148,27,265,4933,269,2,704,2,6,128,29,148,27,1115,1034,81,163.4646381,0.2554135,3482.465158,661517.9245,23332003.5,39566,35939787,42735,33571416,40108,44924794,39390,33640053,41873,38436301,47991.5
155,10900,11001010900,3211,3146,58,3055,6,15,0,12,61,22,9,0,47,49,3035,6,15,0,2,56,21,6,0,2356,56,2226,5,15,0,8,43,22,5,0,35,47,2211,5,15,0,1,41,21,4,0,1366,1161,205,1313.082864,2.05169199,11812.015,5313857.851,21483928,21961,25597789,20753.5,23779752,21350,25906312,20502,27129325,20661,27893573,21980
156,11000,11001011000,3715,3584,1632,1712,29,140,3,68,90,49,40,3,183,1560,1683,24,139,3,13,77,40,36,3,3354,1593,1455,23,130,3,54,58,40,28,2,158,1524,1429,20,130,3,11,48,32,25,2,2673,2345,328,254.1223879,0.39706623,5794.137106,1028396.824,142255206,61476,159856545,66090,159085656,61805,167859350,64116,173116968.4,67450,184361322,70438.5
157,11100,11001011100,4859,4727,322,4192,24,15,1,173,110,58,19,3,337,241,4147,18,15,1,8,88,46,19,3,3945,279,3410,21,13,1,123,85,43,12,3,237,223,3379,15,13,1,5,70,37,12,3,1868,1727,141,1497.651271,2.34008013,13673.10714,6060779.699,101111776,40473,108672370,40625.5,99900451,40198,104974019,41009,115762533,41166,122414153,42315
158,9301,11001009301,3143,3031,979,1915,14,71,0,52,75,32,24,1,221,866,1891,13,67,0,3,56,30,23,1,2617,866,1555,13,66,0,39,50,31,18,1,175,768,1535,12,62,0,3,42,29,17,1,1230,1162,68,272.1330731,0.42520793,4589.378118,1101283.481,80177844.52,46848,96067410,47415,89517062,46693,96422375.11,47221,116557623,54943,124565445,57282.5
159,7809,11001007809,2922,2875,58,2768,9,4,0,36,40,19,6,0,86,35,2753,5,4,0,1,38,16,6,0,2129,51,2011,8,3,0,26,24,17,1,0,65,33,2001,4,3,0,1,22,14,1,0,1339,1135,204,132.2389549,0.20662337,3874.359987,535152.0669,37559798.37,27390,41012846,24953,37380788,25825.5,39381158,25178,44647455,27046,48307774,28461
160,7901,11001007901,3822,3730,397,3252,16,24,0,41,85,32,21,3,115,349,3240,11,24,0,7,73,30,18,2,2771,362,2287,13,24,0,30,50,24,11,3,76,327,2280,9,24,0,6,47,23,9,2,1784,1540,244,98.41517823,0.15377372,2551.393623,398272.0984,54104963,29975,68844302,31673,60769648,29766,65914144,30020.5,76444757,34692,85297510,37573
161,7903,11001007903,1774,1749,156,1536,6,10,0,41,22,14,3,1,95,120,1518,6,9,0,4,22,12,3,1,1407,136,1205,5,10,0,31,17,11,2,1,70,112,1192,5,9,0,2,17,9,2,1,880,778,102,59.94389871,0.09366234,2170.9454,242584.3529,33231634,36257,41719677,39557,34946070,36732,38094648,36321.5,46326405,44633,53049430,47103
162,8001,11001008001,2784,2701,1321,1247,10,65,1,57,51,21,26,7,138,1264,1235,7,62,1,9,42,16,24,7,2397,1168,1058,10,58,1,40,39,19,16,4,111,1119,1049,7,55,1,5,32,14,14,4,1391,1286,105,80.43091395,0.1256733,2400.602905,325492.3626,100414811,60366,126560393,67249,113921738,63888,122354172,66117.5,130054316,70322,144770934,75309.5
163,8002,11001008002,3031,2946,1662,1158,6,74,3,43,43,14,31,3,114,1602,1152,4,73,3,8,40,13,30,0,2614,1450,1014,6,65,1,33,19,10,16,2,91,1400,1011,4,64,1,6,17,9,15,0,1644,1477,167,142.8506356,0.22320412,3883.368027,578096.0156,121769571,67000.5,162596832,72447,142225876,68264,160531068,70314,156077250.8,75659.5,173685028,80922
164,8100,11001008100,2910,2823,2276,422,11,75,1,38,33,19,47,1,133,2195,413,10,74,1,4,31,17,47,1,2551,2027,366,11,62,1,26,23,19,29,1,106,1957,361,10,61,1,2,21,17,29,1,1549,1452,97,72.21812179,0.11284082,2331.345985,292256.3717,139606334,81428,168364052,72100,166143944,77408,167686490,77394,173483443,85914,194119047,90338
165,8200,11001008200,2918,2843,2515,156,12,116,1,43,15,14,50,2,134,2443,152,9,113,1,2,11,11,45,2,2674,2328,146,12,106,1,37,12,11,23,2,119,2260,142,9,103,1,2,9,8,23,2,1655,1522,133,84.04524066,0.13132069,3038.867812,340119.024,117647812,70126.5,147633111,67792.5,142848043,69117.5,155157942,70452,143780010,77086,159931869,78676
166,8301,11001008301,2279,2225,1743,383,5,67,1,26,21,7,31,1,80,1703,373,5,66,1,2,19,5,31,1,2039,1585,331,4,59,1,23,14,6,19,1,71,1546,324,4,58,1,1,14,5,19,1,1154,1072,82,75.10652056,0.11735394,2368.737543,303945.3069,100958815,79178,126739845,80765,117129497,71931,125316966,77114.5,137994779,83172.5,159487649,82900
167,8302,11001008302,2206,2141,1553,490,12,66,2,18,20,12,36,2,94,1487,487,10,64,2,9,18,8,31,2,1940,1367,448,11,60,2,9,15,12,18,2,62,1322,447,9,58,2,4,15,8,17,2,1032,966,66,64.46191668,0.10072175,2372.700178,260868.1231,98202439,75686,121676185,69139,115145078,72632,124644728,70932,122260480,77004.5,148237948,80862
168,8402,11001008402,2149,2081,1156,846,7,51,4,17,34,21,20,6,99,1095,830,5,49,4,5,32,20,19,4,1920,1036,756,6,49,4,14,24,18,17,5,76,990,741,4,49,4,5,24,17,17,3,1270,1174,96,66.30755803,0.10360556,2657.40565,268337.1687,64090679,50048,84827411,55894.5,76375227,50961,83894892,54722,78279904,59253,95344734,63150
169,8410,11001008410,1489,1463,451,958,4,24,3,23,16,10,3,1,71,421,942,4,22,3,4,16,8,3,1,1232,414,754,4,24,3,14,10,10,2,1,57,385,744,4,22,3,2,10,8,2,1,681,604,77,54.39444927,0.08499133,2326.095337,220126.5277,41390921,46940,54787972,48372,47944604,46774,51016505,48283,60603534,55593,71052704,58733
170,9400,11001009400,4163,4038,370,3467,23,42,0,136,94,50,20,1,266,301,3424,22,41,0,12,80,44,18,1,3397,314,2846,20,36,0,94,69,42,10,1,180,264,2820,20,35,0,10,58,37,8,1,1792,1651,141,393.0247235,0.61410113,5500.077285,1590514.636,111394852,48688,122069723,49363.5,112928463,48019,119206939,49071,135842841,51938.5,139399116,52796.5
171,9501,11001009501,5797,5595,2128,2827,36,108,10,486,99,49,58,15,831,1926,2778,21,102,5,9,78,42,54,12,5099,2093,2351,27,105,8,347,73,43,55,12,636,1916,2311,19,99,3,9,59,36,51,9,1954,1802,152,393.9402587,0.61553166,6251.167008,1594219.675,54810127,28094,66633719.98,28334,60953895,28147,64279289,27023,62507127.54,27422.5,71687637,29720.5
172,9503,11001009503,2910,2810,432,2301,4,41,0,32,84,50,22,4,113,377,2276,3,41,0,7,79,48,21,4,2433,384,1917,4,36,0,22,59,42,11,4,83,342,1898,3,36,0,6,56,40,10,4,1256,1200,56,351.7480803,0.54960638,5448.746349,1423473.986,103688476,55760,93340693.3,55128,91164685,52882,103746641,55310.5,108517270,56626.5,113767916,60025
173,9504,11001009504,3025,2940,643,2204,10,40,0,43,66,27,24,5,120,592,2187,5,40,0,3,62,27,24,5,2603,579,1892,7,38,0,28,44,20,17,3,89,540,1876,4,38,0,2,40,20,17,3,1354,1254,100,253.5906496,0.39623539,4227.41219,1026244.955,69274045,43233,76802968,44206.5,72545466,41582,78335079,43487,83501617,44864.5,92795105,48695.5
174,9505,11001009505,2630,2571,145,2274,3,25,6,118,49,19,14,4,201,109,2249,2,25,2,4,36,13,11,0,2197,113,1934,2,22,4,82,33,13,7,1,140,89,1913,1,22,2,2,26,12,6,0,1217,1138,79,254.6686584,0.39791978,4571.653132,1030607.502,69676775,42972,74524698,41734,69233046,41221,72487872,42196,94197523,45732,105022944,46330
175,9507,11001009507,1489,1460,53,1304,11,1,0,91,22,10,4,4,156,16,1292,2,1,0,1,21,9,4,4,1209,38,1075,10,1,0,64,15,10,4,1,110,14,1067,2,1,0,1,14,9,4,1,607,583,24,72.81292728,0.1137702,2483.115055,294663.4642,35008824,38577.5,37021683,38410,34437488,36996,36555449,39274,39838674,38723,41834568.92,39851
176,9508,11001009508,3290,3240,257,2821,11,30,0,121,38,24,11,2,235,182,2793,6,29,0,3,36,22,11,1,2785,227,2394,7,27,0,90,30,22,7,2,171,170,2376,5,26,0,3,28,20,7,1,1742,1578,164,231.9179867,0.36237186,5772.875428,938538.7995,67315108.95,38902,74438513.8,36844,70488991,37979,74847040,37529,76756174,38133.5,82172651,38670.5
177,9509,11001009509,2940,2888,165,2592,5,33,0,93,48,7,14,3,169,124,2565,2,33,0,13,33,4,8,3,2400,142,2126,4,30,0,66,29,6,10,3,116,112,2114,2,30,0,5,20,4,7,3,1320,1258,62,159.553962,0.24930307,3306.197043,645691.9795,75556930,44708,83396856.4,45890,78005645,45617.5,80688699,44771,90266682,48269,94453371,50505
178,9601,11001009601,2445,2420,27,2359,3,5,3,23,24,7,2,4,36,16,2357,3,5,3,0,24,7,2,4,1598,23,1534,3,2,2,18,15,6,2,4,27,16,1532,3,2,2,0,15,6,2,4,847,786,61,514.8501708,0.8044534,6716.549762,2083524.733,27940966,24949,31190145,22438,29485769,24312,29883780,22301,33222152,25221,34565858,27655
179,9602,11001009602,3280,3220,24,3166,9,3,0,18,58,26,3,0,40,20,3156,6,3,0,1,52,26,3,0,2287,17,2206,5,3,0,13,41,20,2,0,25,15,2199,4,3,0,1,38,20,2,0,1545,1445,100,341.0055984,0.53282125,4742.071398,1380000.704,28881426,24409,34651347,23135.5,29422702,23832,32067205,22962.5,41181793,23438,45174162,25037